Id,SalePrice
1461,118627.95637078694
1462,162260.5364693773
1463,189631.99158450455
1464,203213.7406147247
1465,205935.93832003858
1466,172425.8605833319
1467,182418.5204411098
1468,161887.3190263864
1469,191593.29373831543
1470,118169.97273440941
1471,174612.00597142839
1472,97194.68520017076
1473,98996.04602887218
1474,151104.4539884657
1475,123177.09439190138
1476,356905.1614788256
1477,254707.61920385546
1478,304124.71993852034
1479,287062.5327682976
1480,528190.2585371851
1481,319893.99328630744
1482,211777.90093782177
1483,181398.85913665424
1484,164373.8519468241
1485,187257.23707819715
1486,189714.11284565565
1487,324950.5243805265
1488,212417.16303631
1489,202499.36924439852
1490,258245.71974154082
1491,194450.6573912618
1492,89744.02281968073
1493,185089.56384287655
1494,297242.96783621726
1495,288732.1148070175
1496,237534.96640881995
1497,173871.155311371
1498,226621.79705200487
1499,157562.70297117106
1500,157100.40475612928
1501,182151.404569906
1502,140578.53376882785
1503,308051.5514121269
1504,243664.88158532954
1505,232376.29044234438
1506,196031.3793814766
1507,255375.24429205872
1508,202145.11045096978
1509,161100.05931744562
1510,144603.08497964265
1511,204054.496713628
1512,177088.13293841708
1513,139356.95250273167
1514,159932.04690983612
1515,199407.10384549145
1516,148890.15672463234
1517,181873.75677154533
1518,128463.68673635284
1519,206077.924853534
1520,132012.9912109984
1521,137890.7657996291
1522,183450.54988159583
1523,114074.67644710031
1524,126622.82315659305
1525,123374.63105365325
1526,104488.08667202092
1527,110255.30384303642
1528,132968.6335843748
1529,156050.26723199815
1530,193589.02260005072
1531,102517.4163947699
1532,83505.685207196
1533,155982.7176106591
1534,97874.88375689212
1535,150273.7551917945
1536,105963.97836584419
1537,60773.77752542835
1538,147033.8850950949
1539,210708.22926558027
1540,78251.97403175617
1541,148309.1297206046
1542,146229.29179485206
1543,195169.95793218297
1544,80197.28575797594
1545,117001.7798886661
1546,138252.46634164167
1547,138586.0231065343
1548,135262.25582435745
1549,116950.23550437104
1550,136724.04123003918
1551,103008.06293318816
1552,140177.26479738916
1553,150673.58387200706
1554,117446.30633417018
1555,166697.60063047812
1556,76853.7711451021
1557,138118.0865962277
1558,107101.17092076913
1559,61298.567650290766
1560,123129.59512133499
1561,125851.70898478791
1562,138927.66916035055
1563,126667.94520352985
1564,153474.90157972337
1565,148828.02309478115
1566,240716.60544602753
1567,81691.23838476169
1568,228034.72292544693
1569,142089.12932669668
1570,137105.782874058
1571,116916.86042149356
1572,139084.88776966545
1573,213798.2495788011
1574,117147.8707876653
1575,248732.30293873086
1576,228956.04677518946
1577,186613.69607705832
1578,154575.64246623634
1579,152155.06438906796
1580,189798.9598499557
1581,166876.01977084184
1582,127076.41535804258
1583,292887.7238839825
1584,212670.23694336074
1585,135102.02908188457
1586,93659.21831660513
1587,112637.7115282306
1588,150693.06368581354
1589,94892.93248797437
1590,128135.91611223339
1591,95431.47173462158
1592,124054.37021686553
1593,119159.82685922833
1594,143067.2922454174
1595,109890.6394198479
1596,221922.95128499667
1597,209229.87570243797
1598,226887.25113535608
1599,184637.9522667789
1600,174581.14996663597
1601,67648.9425258116
1602,124186.77851644941
1603,58970.954428753554
1604,256634.9210194148
1605,231026.8215340275
1606,166936.4646235117
1607,223512.30096402846
1608,219099.58036497186
1609,181868.42381670035
1610,153385.08543583102
1611,145809.18327914723
1612,174217.33383808236
1613,170855.76985756351
1614,128688.30492901239
1615,90460.94836647074
1616,79096.64801625592
1617,91930.40742206943
1618,178364.89479388398
1619,142072.06309408986
1620,160504.6751562323
1621,138572.83407098046
1622,142449.7643876291
1623,252749.63674861228
1624,208350.80823878595
1625,118345.53654954644
1626,166200.72427361156
1627,188521.55641714393
1628,271298.36463185836
1629,178099.4780981708
1630,347054.1401314629
1631,232724.30744793217
1632,247454.7449842787
1633,161348.7609752228
1634,182490.46595651205
1635,171243.6582368843
1636,151281.81735614897
1637,200903.37577062278
1638,180349.99529359362
1639,176995.52345611845
1640,234447.9948978974
1641,177642.29395333468
1642,256042.791243268
1643,223805.77046358387
1644,238501.1885675831
1645,208331.46579844286
1646,159674.87692811416
